S.No,date,time,product_name,quantity,unit_price,total_amount,payment_mode,transaction_type
1,01-01-2024,00:04,Sunder-Kapadia Tea,4,298.51,1194.04,Credit,Walk-in
2,01-01-2024,21:35,"Sanghvi, Wheat Flour",3,86.8,260.39,Cash,Phone Order
3,01-01-2024,02:20,Buch-Sehgal Coffee,5,448.09,2240.45,Cash,Walk-in
4,01-01-2024,22:12,"Venkatesh, Shampoo",5,436.26,2181.3,Cash,Walk-in
5,01-01-2024,03:21,Datta-Solanki Soap,1,383.24,383.24,UPI,Walk-in
6,01-01-2024,18:03,Datta-Solanki Soap,4,403.41,1613.64,UPI,Phone Order
7,01-01-2024,20:05,Gour-Deo Toothpaste,1,381.95,381.95,UPI,Walk-in
8,01-01-2024,21:46,Datta-Solanki Soap,1,383.24,383.24,Cash,Walk-in
9,01-01-2024,10:59,Raman Toothpaste,2,9.81,19.62,Cash,Walk-in
10,01-01-2024,23:01,"Lata, Namkeen",4,404.85,1619.39,Credit,Walk-in
11,01-01-2024,21:54,"Manda, Coffee",4,53.77,215.08,Credit,Walk-in
12,01-01-2024,21:32,Mammen Soap,5,229.9,1149.5,Cash,Walk-in
13,01-01-2024,07:02,Upadhyay Soap,2,278.3,556.6,Credit,Phone Order
14,01-01-2024,04:15,"Lata, Namkeen",2,427.34,854.68,Credit,Walk-in
15,01-01-2024,19:54,"Bobal, Salt",4,479.79,1919.16,UPI,Walk-in
16,01-01-2024,00:32,Gour-Deo Toothpaste,1,402.05,402.05,Cash,Walk-in
17,01-01-2024,01:07,Cherian-Koshy Oil,5,46.72,233.6,Cash,Walk-in
18,01-01-2024,23:15,Swaminathan Soap,2,249.52,499.05,UPI,Delivery
19,01-01-2024,10:30,Swamy Sugar,5,314.23,1571.15,Cash,Walk-in
20,01-01-2024,03:19,Narasimhan Salt,5,19.07,95.35,Credit,Phone Order
21,01-01-2024,03:58,Handa Soap,5,75.1,375.49,Cash,Walk-in
22,01-01-2024,20:36,"Dash, Soap",1,94.25,94.25,Cash,Phone Order
23,01-01-2024,11:52,Bora-Bhalla Rice,4,79.53,318.12,UPI,Walk-in
24,01-01-2024,15:37,Karpe Juice,4,13.02,52.08,UPI,Delivery
25,01-01-2024,03:24,"Lata, Namkeen",4,449.83,1799.32,UPI,Phone Order
26,01-01-2024,00:53,Swamy Sugar,4,314.23,1256.92,UPI,Walk-in
27,01-01-2024,04:45,Kant Oil,2,143.02,286.04,UPI,Walk-in
28,01-01-2024,03:23,Karpe Juice,3,13.02,39.06,Credit,Walk-in
29,01-01-2024,08:04,Palla-Muni Biscuits,5,289.06,1445.31,UPI,Phone Order
30,01-01-2024,23:42,Ravel-Prashad Biscuits,1,189.3,189.3,UPI,Walk-in
31,01-01-2024,04:08,Mitter-Ramanathan Dal,4,244.75,979.0,UPI,Walk-in
32,01-01-2024,02:35,Swamy Sugar,2,314.23,628.46,Cash,Walk-in
33,01-01-2024,13:05,"Mani, Dal",5,402.93,2014.65,Cash,Walk-in
34,01-01-2024,10:18,Upadhyay Soap,2,278.3,556.6,Cash,Phone Order
35,01-01-2024,19:04,Patil-Narain Pulses,1,433.27,433.27,Credit,Walk-in
36,01-01-2024,09:19,"Kota, Namkeen",1,444.5,444.5,Credit,Phone Order
37,01-01-2024,16:36,Chacko Soft Drinks,4,89.08,356.33,Credit,Walk-in
38,01-01-2024,01:04,Yadav Rice,1,24.08,24.08,Cash,Walk-in
39,01-01-2024,20:29,"Saini, Juice",3,441.19,1323.57,Cash,Delivery
40,01-01-2024,17:20,Naidu-Goyal Chips,5,370.06,1850.31,UPI,Delivery
41,01-01-2024,23:01,Ben-Chaudhary Soft Drinks,4,32.1,128.4,UPI,Walk-in
42,01-01-2024,18:17,Buch Shampoo,4,192.26,769.04,Cash,Walk-in
43,01-01-2024,16:43,"Ganesh, Soap",4,34.56,138.24,UPI,Walk-in
44,01-01-2024,04:11,"Kota, Namkeen",1,400.05,400.05,Credit,Walk-in
45,01-01-2024,20:23,"Atwal, Masala",4,269.94,1079.76,UPI,Delivery
46,01-01-2024,08:16,Dubey Dal,3,307.63,922.89,UPI,Phone Order
47,01-01-2024,22:04,Datta-Solanki Soap,1,383.24,383.24,Credit,Phone Order
48,01-01-2024,01:47,Salvi-Saraf Coffee,5,440.53,2202.66,UPI,Walk-in
49,01-01-2024,10:26,Chhabra-Aurora Tea,3,393.79,1181.38,Cash,Walk-in
50,01-01-2024,15:43,Mitter-Ramanathan Dal,5,244.75,1223.75,Cash,Walk-in
51,01-01-2024,21:14,Handa Soap,3,79.05,237.15,Cash,Phone Order
52,01-01-2024,10:44,Kant Oil,3,143.02,429.07,Cash,Walk-in
53,01-01-2024,12:55,Upadhyay Soap,3,250.47,751.41,Cash,Walk-in
54,01-01-2024,03:56,"Saini, Juice",3,441.19,1323.57,UPI,Walk-in
55,01-01-2024,20:59,"Saini, Juice",1,441.19,441.19,UPI,Walk-in
56,01-01-2024,16:39,Chandran-Vyas Toothpaste,2,192.65,385.3,Credit,Delivery
57,01-01-2024,14:12,Tiwari-Krishnan Chips,3,185.18,555.54,Credit,Phone Order
58,01-01-2024,12:13,Mitter-Ramanathan Dal,4,244.75,979.0,Credit,Walk-in
59,01-01-2024,04:05,"Krishnamurthy, Masala",4,205.31,821.24,Cash,Walk-in
60,01-01-2024,14:27,Ravel-Prashad Biscuits,3,170.37,511.11,UPI,Walk-in
61,01-01-2024,22:17,Karpe Juice,5,11.72,58.59,Credit,Walk-in
62,01-01-2024,21:05,Nayak Dal,3,217.93,653.79,Cash,Phone Order
63,01-01-2024,11:27,Swaminathan Soap,1,263.39,263.39,UPI,Walk-in
64,01-01-2024,01:55,Sha Tea,3,80.41,241.24,UPI,Walk-in
65,01-01-2024,08:59,"Bobal, Salt",1,479.79,479.79,Cash,Walk-in
